model,obs,breaches,breach_rate,p_exp,LR_uc,LR_ind,LR_cc,n00,n01,n10,n11,pi_obs,p_uc,p_ind,p_cc
ewma_normal,5272,124,0.0235204855842185,0.01,70.55653948890426,4.370515312182761,74.92705480108702,5030,117,117,7,0.0235249478277366,0.0,0.0365659323646087,0.0
ewma_t,5272,93,0.0176403641881638,0.01,25.341619797277986,4.676195967521494,30.01781576479948,5090,88,88,5,0.0176437108708025,4.802341883047845e-07,0.030583400920420667,3.031894794114365e-07
garch_normal,4831,111,0.0229766093976402,0.01,60.15166867335256,0.7399021666926728,60.89157084004523,4612,107,107,4,0.0229813664596273,8.770761894538737e-15,0.3896922194112765,5.995204332975845e-14
