model,obs,breaches,breach_rate,expected_rate,LR_uc,p_uc
var_99,5263,124,0.0235607068212046,0.01,70.7769241696426,0.0
var_99_t,5263,93,0.0176705301159034,0.01,25.465852187207815,4.502825509122843e-07
