model,obs,breaches,breach_rate,p_exp,LR_uc,LR_ind,LR_cc,n00,n01,n10,n11,pi_obs
ewma_normal,5263,124,0.023560706821204636,0.010000000000000009,70.80451347993358,4.355894423119707,75.16040790305328,5021,117,117,7,0.02356518434055492
ewma_t,5263,93,0.017670530115903478,0.010000000000000009,25.481411969538158,4.6643074307581855,30.145719400296343,5081,88,88,5,0.01767388825541619
garch_normal,4822,111,0.023019493985897966,0.010000000000000009,60.389649580233936,0.7342495393818353,61.12389911961577,4603,107,107,4,0.023024268823895456
